Project Name,Sprint/Phase,Task/Item,Status,Owner,Timeline,Financial Metric,SLA Metric,Risk Title,Risk Description,Risk Category,Tech Stack,Risk Subtype,Severity,Likelihood,Impact
HIE Interoperability,Sprint 3,Production Support,In Progress,Keerthi L,2026-03-16 to 2026-03-22,N/A,N/A,Production Monitoring Complexity,Production monitoring activities showing increased complexity with queue management, exception alerts, and retry behavior requiring continuous attention.,Operational,Production Support,Dependency,Medium,Medium,Service disruptions and data integrity issues
HIE Interoperability,Sprint 4,QA Automation,In Progress,Divya,2026-03-23 to 2026-03-29,N/A,N/A,QA Resource Addition Mid-Sprint,New QA resource Divya added mid-sprint to handle automation and defect revalidation indicating resource planning gaps and workload management issues.,Resource,QA Testing,Constraint,Medium,Medium,Knowledge transfer overhead and productivity dip
HIE Interoperability,Sprint 5,Performance Testing,In Progress,Multiple,2026-03-30 to 2026-04-05,N/A,N/A,Certificate and Access Delays,Performance testing and prod-like validation blocked by certificate renewal and production log access delays. Infrastructure readiness issues impacting testing.,Operational,Infrastructure,Delay,High,High,Testing delays and go-live risk
HIE Interoperability,Sprint 5,Data Reconciliation,Blocked,Priya M,2026-03-30 to 2026-04-05,N/A,N/A,Data Validation Dependency,Data reconciliation work blocked due to external dependencies and access issues. Critical validation work at risk of missing sprint goals.,Technical,Data Management,Dependency,High,High,Data quality issues and compliance risks
HIE Interoperability,Sprint 6,UAT Support,In Progress,Multiple,2026-04-06 to 2026-04-12,N/A,N/A,UAT Signoff Delays,UAT support activities blocked by client UAT signoff and defect retest queue. Sign-off readiness at risk due to pending validations.,Compliance,UAT,Delay,High,High,Go-live delays and stakeholder dissatisfaction
HIE Interoperability,Sprint 7,Cutover Rehearsal,In Progress,Multiple,2026-04-13 to 2026-04-19,N/A,N/A,Cutover Checklist Approval Delays,Cutover rehearsal blocked by cutover checklist approval and interface freeze confirmation. Critical go-live preparation activities at risk.,Operational,Release Management,Delay,High,High,Failed cutover and production issues
HIE Interoperability,Sprint 7,Production Monitoring,In Progress,Keerthi L,2026-04-13 to 2026-04-19,N/A,N/A,Production Queue Management Risk,Production monitoring showing complex queue management with exception alerts and retry behavior requiring constant monitoring and intervention.,Operational,Production Support,Dependency,Medium,High,Service degradation and transaction failures
HIE Interoperability,Sprint 8,Hypercare Support,In Progress,Multiple,2026-04-20 to 2026-04-26,N/A,N/A,Resource Roll-off During Hypercare,Bala completing hypercare handover and rolling off during critical stabilization phase. Knowledge transfer and support continuity at risk.,Resource,Support,Constraint,High,Medium,Support gaps and incident response delays
HIE Interoperability,All Sprints,Development,Ongoing,Ramesh K,2026-03-02 to 2026-04-26,N/A,N/A,Consistent PR Approval Bottleneck,Recurring pattern of PR approval delays across all sprints causing consistent cycle time increases and developer wait time.,Operational,Development,Delay,High,High,Reduced team velocity and missed sprint goals
HIE Interoperability,All Sprints,QA Testing,Ongoing,Nisha & Divya,2026-03-02 to 2026-04-26,N/A,N/A,High Retesting Cycle Overhead,Consistent pattern of 2-3 retesting cycles after dev fixes across sprints indicating quality issues in initial development and fix implementation.,Technical,QA Testing,Defect,High,High,Extended testing timelines and quality concerns
HIE Interoperability,All Sprints,Integration Support,Ongoing,Keerthi L & Bala,2026-03-02 to 2026-04-26,N/A,N/A,Environment Access Recurring Issue,Persistent environment access permission issues across sprints blocking integration and production support work. Infrastructure readiness gaps.,Operational,Infrastructure,Dependency,High,High,Cumulative project delays and team frustration
HIE Interoperability,All Sprints,Dependency Management,Ongoing,Priya M,2026-03-02 to 2026-04-26,N/A,N/A,External Dependency Management Risk,Recurring blocked tasks due to external dependencies, approvals, and access permissions. Dependency management process showing systemic weaknesses.,Operational,Project Management,Dependency,High,High,Project timeline overruns and scope risks
HIE Interoperability,Q1 2026,Overall Project,Completed,All Teams,2026-01-01 to 2026-03-31,Total Budget: ₹18,50,000 vs Actual: ₹18,45,000,ROI: 128%,Positive ROI with Budget Efficiency,Project showing positive ROI of 128% with overall budget efficiency. Development came in under budget offsetting QA and DevOps overruns. Strong delivery value.,Financial,Project Management,Success,Low,Low,Positive business outcome and stakeholder confidence
HIE Interoperability,Sprint 1-2,Spike Tasks,Blocked,Priya M,2026-03-02 to 2026-03-15,N/A,N/A,Spike Task Dependency Pattern,Multiple spike tasks blocked or delayed due to access permissions and approval dependencies. Research and investigation work impacted by external factors.,Operational,Analysis,Dependency,Medium,High,Delayed decision-making and technical direction
HIE Interoperability,Sprint 3-4,Build Phase,In Progress,Ramesh K,2026-03-16 to 2026-03-29,N/A,N/A,Build Quality Issues,Build phase showing defect patterns and incomplete fixes requiring rework. Transformation logic and connectivity setup facing quality challenges.,Technical,Development,Defect,High,High,Technical debt accumulation and maintenance burden
HIE Interoperability,Sprint 5-6,Testing Phase,In Progress,QA Team,2026-03-30 to 2026-04-12,N/A,N/A,Testing Environment Instability,Performance testing and UAT activities facing environment instability with access issues, certificate problems, and infrastructure delays.,Technical,Testing Infrastructure,Dependency,High,High,Incomplete test coverage and production risks
HIE Interoperability,Sprint 7-8,Go-Live Phase,In Progress,All Teams,2026-04-13 to 2026-04-26,N/A,N/A,Go-Live Readiness Risks,Cutover rehearsal and hypercare phase showing multiple blocking issues including approval delays, resource roll-offs, and production monitoring complexity.,Operational,Release Management,Delay,High,High,Failed go-live and business disruption
HIE Interoperability,All Sprints,Leave Management,Ongoing,All Teams,2026-03-02 to 2026-04-26,N/A,N/A,Leave Coverage Impact,Multiple instances of sick leave, planned leave, and flexi holidays requiring backup coverage. Leave patterns showing potential impact on continuity.,Resource,Team Management,Constraint,Low,Medium,Knowledge gaps and handover issues
HIE Interoperability,Q1 2026,Resource Planning,Completed,Management,2026-01-01 to 2026-03-31,N/A,N/A,Resource Utilization Imbalance,Developers at 82% utilization (vs 70% planned), QA at 24% (vs 20% planned), DevOps at 14% (vs 10% planned). Resource distribution showing imbalance.,Resource,Resource Management,Constraint,Medium,Medium,Team stress and suboptimal resource allocation
HIE Interoperability,Sprint 2-8,Defect Management,Ongoing,QA & Dev Teams,2026-03-09 to 2026-04-26,N/A,N/A,Defect Leakage Pattern,Defect leakage ranging from Low to Medium across sprints with reopen counts up to 2. Quality assurance process showing gaps in defect prevention.,Technical,Quality Assurance,Defect,Medium,High,Customer-facing defects and reputation damage
