"Project Name","Sprint/Phase","Task/Item","Status","Owner","Timeline","Financial Metric","SLA Metric","Risk Title","Risk Description","Risk Category","Tech Stack","Risk Subtype","Severity","Likelihood","Impact"
"FinCore","Q1 2025","Overall Project","Amber","Project Team","Q1 2025","NULL","QA Pass: 93% vs 95% target, Defect Leakage: 4%","AI Quality Metrics Below Target","FinCore shows QA pass rate at 93% below 95% target with defect leakage at 4%, requiring QA reruns and extended validation cycles","Operational","AI, QA","SLA Breach","Medium","High","Quality metrics deviation indicating potential for production incidents and customer satisfaction impact"
"ShopEase","Sprint 1","SHO-162, SHO-165, SHO-168","Failed/Blocked/Not Started","QA-Bala","2026-01-11 to 2026-01-16","NULL","NULL","Sprint 1 Frontend QA Blockage","Sprint 1 shows failed QA with defect leakage (SHO-162), blocked QA (SHO-165), and not started QA with defect leakage (SHO-168)","Operational","Frontend, QA","Delay","Medium","High","Frontend validation delays causing release postponement and user experience issues"
"ShopEase","Sprint 2","SHO-176, SHO-177","Blocked/Reopened","QA-Divya, Deepa R","2026-01-23 to 2026-01-24","NULL","NULL","Sprint 2 Session State Defect","Sprint 2 shows blocked QA (SHO-176) and reopened critical bug (SHO-177) related to session state, stale cache, and rendering mismatch with 2 reopens","Technical","Frontend","Defect","Medium","High","User session management issues causing data loss and poor user experience"
"ShopEase","Sprint 3","SHO-178, SHO-181, SHO-184","Blocked/Failed/Not Started","Keerthi L, QA-Charan, QA-Divya","2026-01-31 to 2026-02-04","NULL","NULL","Sprint 3 Frontend Delivery Risk","Sprint 3 exhibits blocked story (SHO-178), failed QA (SHO-181), and not started QA (SHO-184), indicating delivery impediments","Operational","Frontend","Delay","Medium","High","Sprint delivery delays affecting feature availability and market responsiveness"
"ShopEase","Sprint 4","SHO-186, SHO-190","Not Started/In Testing","QA-Divya, QA-Charan","2026-02-10 to 2026-02-13","NULL","NULL","Sprint 4 QA Validation Delay","Sprint 4 shows not started QA with defect leakage (SHO-186) and in testing QA with defect leakage and 2 reopens (SHO-190)","Operational","Frontend, QA","Delay","Medium","Medium","Testing delays and defect leakage increasing risk of production issues"
"ShopEase","Week 1","SHO-1024, SHO-1025, SHO-1026","Done/Blocked","Keerthi L, QA-Anu, Priya M","2025-09-28 to 2025-10-04","NULL","NULL","Weekly Checkpoint Failure","Week 1 WSR shows completed story (SHO-1024) but blocked QA (SHO-1025) and blocked bug (SHO-1026), indicating validation bottleneck","Operational","Frontend, QA","Delay","Medium","Medium","Weekly delivery rhythm disrupted affecting sprint predictability"
"LogiChain","Sprint 1","LOG-259","Reopened (3 reopens)","Keerthi L","2026-01-12 to 2026-01-17","NULL","NULL","DevOps Critical Defect Recurrence","Critical defect LOG-259 shows 3 reopen counts with concurrency/API failure causing system failures under load","Technical","DevOps, API","Defect","High","High","Infrastructure instability affecting deployment reliability and service availability"
"LogiChain","Sprint 2","LOG-263, LOG-265, LOG-268","Blocked/In Progress","QA-Divya, QA-Bala, Ramesh K","2026-01-21 to 2026-01-24","NULL","NULL","Sprint 2 DevOps Pipeline Blockage","Sprint 2 shows multiple blocked QA tasks (LOG-263, LOG-265) with defect leakage and critical bug in progress (LOG-268) with 3 reopens","Operational","DevOps","Delay","High","High","CI/CD pipeline instability causing deployment delays and release gate failures"
"LogiChain","Sprint 3","LOG-273, LOG-274, LOG-276","Not Started/In Progress","QA-Divya, Naveen G, QA-Anu","2026-02-01 to 2026-02-03","NULL","NULL","Sprint 3 Infrastructure Instability","Sprint 3 exhibits not started QA with defect leakage (LOG-273), critical bug in progress (LOG-274), and not started QA (LOG-276)","Operational","DevOps","Delay","Medium","High","Infrastructure changes not properly validated causing potential production impact"
"LogiChain","Sprint 4","LOG-279, LOG-282","Failed/Failed","QA-Charan, QA-Anu","2026-02-10 to 2026-02-16","NULL","NULL","Sprint 4 Build Validation Failure","Sprint 4 shows failed QA (LOG-279) and failed QA (LOG-282) indicating build and deployment validation issues","Technical","DevOps","Defect","Medium","High","Build failures and package drift affecting release readiness"
"LogiChain","Q1 2025","DevOps Infrastructure","Over Budget","DevOps Team","Q1 2025","$17,000 actual vs $15,000 budget (-$2,000 variance)","NULL","DevOps Infrastructure Cost Overrun","LogiChain DevOps infrastructure costs reached $17,000 against budgeted $15,000, showing $2,000 overrun with increased infrastructure effort at 12% vs planned 10%","Financial","DevOps, Cloud","Overrun","Medium","High","Budget variance requiring cost optimization and infrastructure right-sizing"
"LogiChain","Q1 2025","Overall Project","Amber","Project Team","Q1 2025","NULL","Velocity: 40 vs 42 target, QA Pass: 94% vs 95% target","DevOps Delivery Performance Gap","LogiChain shows velocity at 40 against target of 42 and QA pass rate at 94% below 95% target, with release tasks behind schedule","Operational","DevOps","SLA Breach","Medium","High","Performance metrics deviation affecting operational efficiency and release predictability"
"LogiChain","Week 1","LOG-1036, LOG-1037, LOG-1038","Closed/In Testing/Resolved","Naveen G, QA-Divya","2025-12-27 to 2026-01-02","NULL","Health: Red","Critical Weekly Health Status","Week 1 WSR shows Red health status with dependency awaiting confirmation, despite closed story (LOG-1036) and resolved defect (LOG-1038)","Operational","DevOps","Dependency","High","High","Critical dependencies blocking release progression and requiring immediate escalation"
"LogiChain","Week 2","LOG-1040, LOG-1041, LOG-1042","Done/In Testing/Blocked","Naveen G, QA-Charan, Arvind N","2026-01-03 to 2026-01-09","NULL","Health: Red","Sustained Critical Health Status","Week 2 WSR maintains Red health status with blocked defect (LOG-1042) requiring regression fix, despite completed story (LOG-1040)","Operational","DevOps","Defect","High","High","Persistent critical status indicating systemic issues requiring management intervention"
"Multi-Project","Q1 2025","All DevOps Activities","Over Budget","All DevOps Teams","Q1 2025","All projects: $17,000 actual vs $15,000 budget (-$2,000 each)","NULL","Portfolio-Wide DevOps Cost Overrun","All four projects (Healthify, FinCore, ShopEase, LogiChain) show identical DevOps budget overrun of $2,000 each, totaling $8,000 portfolio overrun with infrastructure effort at 12% vs planned 10%","Financial","DevOps, Cloud","Overrun","High","High","Systemic infrastructure cost issue requiring portfolio-level cost optimization strategy and cloud resource governance"
"Multi-Project","Q1 2025","Quality Metrics","Below Target","All QA Teams","Q1 2025","NULL","Healthify: 92%, FinCore: 93%, LogiChain: 94% (all below 95% target)","Portfolio Quality Performance Gap","Three out of four projects show QA pass rates below 95% target: Healthify at 92%, FinCore at 93%, and LogiChain at 94%, indicating systemic quality control challenges","Operational","QA Testing","SLA Breach","High","High","Portfolio-wide quality metrics deviation indicating need for enhanced testing practices and quality gates"
"Multi-Project","Q1 2025","Defect Management","At/Above Threshold","All Dev Teams","Q1 2025","NULL","Healthify: 5%, FinCore: 4%, LogiChain: 3% defect leakage","Defect Leakage Trend Across Portfolio","Multiple projects show defect leakage at or approaching 5% threshold: Healthify at 5% (at limit), FinCore at 4%, and LogiChain at 3%, with multiple critical defects showing 3 reopen counts","Technical","Backend, AI, DevOps","Defect","High","High","Increasing defect leakage trend indicating insufficient defect prevention and root cause analysis practices"
"Multi-Project","Q1 2025","Resource Utilization","Over-allocated","All Development Teams","Q1 2025","NULL","All projects: 75% actual vs 70% planned developer utilization","Portfolio Resource Over-Utilization","All four projects show developer utilization at 75% against planned 70%, indicating consistent over-allocation across the portfolio","Resource","Development","Dependency","Medium","High","Sustained over-utilization risking team burnout, quality degradation, and increased attrition"
