Risk ID,Technology,Context,Risk Title,Risk Category,Risk Description
BR-AIML-026,AIML,"ML systems handling sensitive data","Data Retention and Right-to-Deletion Compliance",Compliance,"ML models trained on personal data must comply with data retention policies and right-to-deletion requirements (GDPR, CCPA). However, removing individual records from trained models is technically challenging, and models may retain information about deleted data, creating compliance risks."
BR-AIML-027,AIML,"Production ML inference services","Model Serving Availability and Uptime Issues",Availability,"ML inference services without proper high availability architecture, redundancy, and failover mechanisms experience downtime from infrastructure failures, deployment issues, or resource exhaustion. Single points of failure in model serving infrastructure can cause complete service unavailability."
BR-AIML-028,AIML,"ML training infrastructure and compute resources","Training Infrastructure Availability Constraints",Availability,"Limited availability of specialized ML hardware (GPUs, TPUs) or cloud resource quotas can prevent teams from running training jobs, causing project delays. Spot instance interruptions without proper handling can cause training job failures and wasted resources."
BR-AIML-029,AIML,"Multi-region ML deployments","Geographic Availability and Disaster Recovery Gaps",Availability,"ML systems deployed in single regions without disaster recovery plans are vulnerable to regional outages. Model artifacts, training data, and serving infrastructure concentrated in one location create availability risks. Cross-region model deployment adds complexity in maintaining consistency."
BR-AIML-030,AIML,"ML model lifecycle management","Technical Debt from Experimental ML Code",Maintainability,"ML development often involves rapid experimentation with code that isn't production-ready. Without proper refactoring, code review, and engineering practices, experimental code accumulates as technical debt, making systems difficult to maintain, debug, and extend. Notebook-driven development exacerbates this issue."
BR-AIML-031,AIML,"ML framework and library dependencies","ML Framework Version Compatibility and Upgrade Risks",Maintainability,"ML frameworks (TensorFlow, PyTorch, scikit-learn) evolve rapidly with breaking changes between versions. Models trained on older versions may not load in newer versions, and upgrading frameworks can break existing pipelines. Dependency conflicts between ML libraries create maintenance challenges."
BR-AIML-032,AIML,"ML system architecture and design","Monolithic ML Systems and Tight Coupling",Maintainability,"ML systems built as monoliths with tight coupling between data pipelines, training code, and serving infrastructure are difficult to maintain and evolve. Changes in one component require testing and redeploying the entire system, slowing development and increasing risk."
BR-AIML-033,AIML,"Integration with enterprise data systems","Data Source Integration and Compatibility Issues",Interoperability,"ML systems must integrate with diverse data sources (databases, data lakes, streaming platforms, APIs) with different formats, schemas, and access patterns. Incompatibilities, schema changes, or API versioning issues can break ML pipelines and cause training or inference failures."
BR-AIML-034,AIML,"ML model deployment across platforms","Cross-Platform Model Deployment Challenges",Interoperability,"Deploying ML models across different platforms (cloud, edge devices, mobile, embedded systems) faces interoperability challenges including model format conversions, runtime compatibility, hardware constraints, and performance optimization. Models may behave differently across platforms."
BR-AIML-035,AIML,"ML system integration with business applications","API Contract and Integration Stability Issues",Interoperability,"ML inference APIs integrated with business applications require stable contracts, versioning strategies, and backward compatibility. Breaking changes in API schemas, prediction formats, or response structures can break downstream applications. Lack of API governance creates integration fragility."
