Risk ID,Risk Description,Potential Impact,Tech Stack,Category of Risks
SEC-013,"Insecure configuration of vector databases, allowing unauthorized access to sensitive embeddings.","Intellectual property theft, reconstruction of sensitive source data.",AIML,Security & Vulnerability Risks
SEC-014,"Lack of immutability and signing for model artifacts, allowing for tampering before deployment.","Deployment of a compromised or malicious model into production.",AIML,Security & Vulnerability Risks
SEC-015,"Misconfiguration of cloud storage buckets (e.g., S3, GCS) containing training data, making them publicly accessible.","Massive data breach of sensitive training datasets.",AIML,Security & Vulnerability Risks
SEC-016,"Prompt injection attacks on Large Language Models (LLMs) to bypass safety filters or reveal system prompts.","Generation of harmful content, unauthorized data disclosure, reputational damage.",AIML,Security & Vulnerability Risks
SEC-017,"Denial-of-service (DoS) attacks by sending computationally expensive queries to the inference endpoint.","Service unavailability, excessive cloud costs.",AIML,Security & Vulnerability Risks
SEC-018,"Lack of data encryption at rest for datasets stored in distributed file systems like HDFS.","Data exposure in case of physical access to storage hardware.",AIML,Security & Vulnerability Risks
SEC-019,"Insufficient security auditing and logging for MLOps platforms, hindering incident investigation.","Inability to trace security breaches or unauthorized activities.",AIML,Security & Vulnerability Risks
SEC-020,"Use of pre-trained models from untrusted sources without security vetting.","Introduction of backdoors or malicious code into the application.",AIML,Security & Vulnerability Risks
SEC-021,"Side-channel attacks on inference hardware (CPU/GPU) to extract model parameters or data.","Theft of proprietary models and sensitive data.",AIML,Security & Vulnerability Risks
SEC-022,"Uncontrolled use of open-source data science tools with known vulnerabilities on developer workstations.","Compromise of developer credentials and access to sensitive code repositories.",AIML,Security & Vulnerability Risks
SEC-023,"Failure to anonymize or pseudonymize data before use in lower, less secure environments.","Accidental exposure of PII to unauthorized personnel.",AIML,Security & Vulnerability Risks
SEC-024,"Indirect prompt injection where an LLM processes a poisoned data source (e.g., a webpage) that triggers malicious behavior.","Hijacking of user sessions, unauthorized actions performed on behalf of the user.",AIML,Security & Vulnerability Risks
SEC-025,"Lack of rate limiting on model APIs, enabling brute-force attacks or economic denial of service.","Service disruption, unpredictable and high operational costs.",AIML,Security & Vulnerability Risks
PERF-001,"High inference latency for complex deep learning models, failing to meet real-time application SLAs.","Poor user experience, service timeouts, violation of service level agreements.",AIML,Performance & Scalability Risks
PERF-002,"Data processing bottlenecks in ETL/ELT pipelines (e.g., Spark, Dask) due to inefficient partitioning or data skew.","Delayed data availability for training, increased processing costs.",AIML,Performance & Scalability Risks
PERF-003,"GPU/TPU underutilization during model training, leading to unnecessarily long training times and high costs.","Wasted cloud spend, slow experimentation cycles.",AIML,Performance & Scalability Risks
PERF-004,"The 'small files problem' in data lakes (HDFS/S3) degrading query performance for analytics and feature generation.","Slow data access, increased load on metadata services.",AIML,Performance & Scalability Risks
PERF-005,"Inability of the model serving infrastructure to auto-scale effectively under spiky traffic loads.","Service degradation or outages during peak demand.",AIML,Performance & Scalability Risks
PERF-006,"Memory leaks in Python data processing scripts or long-running training jobs.","Job failures, resource exhaustion on compute nodes.",AIML,Performance & Scalability Risks
PERF-007,"Lack of model optimization (e.g., quantization, pruning, distillation) for edge or mobile deployment.","High power consumption, poor performance on resource-constrained devices.",AIML,Performance & Scalability Risks
PERF-008,"Inefficient feature store design leading to high latency for online feature retrieval.","Increased end-to-end latency for real-time predictions.",AIML,Performance & Scalability Risks
PERF-009,"Contention for shared resources (e.g., GPUs, network bandwidth) in a multi-tenant ML platform.","Unpredictable job performance, 'noisy neighbor' problems.",AIML,Performance & Scalability Risks
PERF-010,"Cold start latency for serverless inference endpoints (e.g., AWS Lambda, Cloud Functions).","Spikes in response time for infrequent requests.",AIML,Performance & Scalability Risks
PERF-011,"I/O bottlenecks when reading large datasets from cloud storage into training clusters.","CPU/GPU starvation, extending training duration and cost.",AIML,Performance & Scalability Risks
PERF-012,"Scalability limits of a centralized metadata store (e.g., MLflow tracking server, Hive Metastore).","Performance degradation as the number of experiments and artifacts grows.",AIML,Performance & Scalability Risks
PERF-013,"Inefficient vector similarity search queries in a vector database, leading to slow retrieval for RAG applications.","High latency in generative AI responses, poor user experience.",AIML,Performance & Scalability Risks
PERF-014,"Failure to use batching for inference requests, leading to inefficient use of hardware accelerators.","Low throughput, high cost per prediction.",AIML,Performance & Scalability Risks
PERF-015,"Excessive data shuffling in distributed data processing frameworks like Spark, causing network congestion.","Extremely slow job execution, potential for job failure.",AIML,Performance & Scalability Risks
PERF-016,"The Python Global Interpreter Lock (GIL) limiting true parallelism in CPU-bound data processing tasks.","Inability to fully utilize multi-core CPUs, performance bottlenecks.",AIML,Performance & Scalability Risks
PERF-017,"Lack of a caching strategy for frequently accessed data or features.","Redundant computation and data fetching, increased latency and cost.",AIML,Performance & Scalability Risks
PERF-018,"Poor choice of file format (e.g., CSV vs. Parquet/ORC) for analytical workloads.","Slow query performance, increased storage and processing costs.",AIML,Performance & Scalability Risks
PERF-019,"Inability to scale data labeling and annotation processes to keep up with data acquisition.","Stale models, delays in starting new ML projects.",AIML,Performance & Scalability Risks
PERF-020,"High overhead of feature engineering logic executed at inference time.","Increased prediction latency, complex and brittle serving code.",AIML,Performance & Scalability Risks
PERF-021,"Saturation of database connections from a large-scale, parallel hyperparameter tuning job.","Denial of service for other applications relying on the same database.",AIML,Performance & Scalability Risks
PERF-022,"Model serving architecture does not support A/B testing or canary deployments without significant downtime.","Inability to safely roll out new models, risk of deploying a poorly performing model to all users.",AIML,Performance & Scalability Risks
PERF-023,"Large memory footprint of models or embeddings, exceeding available RAM on serving instances.","Service crashes, need for expensive high-memory instances.",AIML,Performance & Scalability Risks
PERF-024,"Slow startup times for complex data science environments (e.g., Jupyter notebooks with many dependencies).","Reduced developer productivity, friction in experimentation.",AIML,Performance & Scalability Risks
PERF-025,"Network latency between the application server, feature store, and model inference endpoint.","Accumulated latency impacting the end-user response time.",AIML,Performance & Scalability Risks
DX-001,"Lack of a standardized project template (e.g., Cookiecutter Data Science) leading to inconsistent project structures.","Difficult onboarding, challenges in collaboration and code review.",AIML,Design & Developer Experience
DX-002,"Fragmented MLOps toolchain with poor integration between components (e.g., experiment tracking, CI/CD, monitoring).","Manual hand-offs, reduced velocity, increased operational overhead.",AIML,Design & Developer Experience
DX-003,"Inconsistent development environments (local machine vs. cloud VM vs. CI runner) causing 'it works on my machine' issues.","Deployment failures, wasted developer time on debugging environment-specific issues.",AIML,Design & Developer Experience
DX-004,"Poorly documented data sources and features, making it difficult for data scientists to discover and use them.","Redundant work, underutilization of valuable data assets.",AIML,Design & Developer Experience
DX-005,"Long feedback loops for CI/CD pipelines for ML models, slowing down experimentation and deployment.","Reduced iteration speed, developer frustration.",AIML,Design & Developer Experience
DX-006,"Absence of a centralized feature store, leading to duplicated feature engineering efforts across teams.","Inconsistent feature logic, wasted engineering effort, training-serving skew.",AIML,Design & Developer Experience
DX-007,"Difficulty in debugging ML models in production due to lack of observability and proper logging.","Prolonged incident resolution times, inability to diagnose model failures.",AIML,Design & Developer Experience
DX-008,"Overly complex or 'magical' abstraction layers in the ML platform that hide important details and are hard to customize.","Steep learning curve, inability to solve non-standard problems.",AIML,Design & Developer Experience
DX-009,"Lack of self-service capabilities for data scientists to provision resources or deploy models.","Bottlenecks waiting for Ops/Platform teams, reduced autonomy and productivity.",AIML,Design & Developer Experience
DX-010,"Friction between notebook-based experimentation (e.g., Jupyter) and production-grade software engineering practices (e.g., version control, testing).","Difficult to productionize models, accumulation of technical debt.",AIML,Design & Developer Experience
DX-011,"Absence of a clear model versioning and promotion strategy (e.g., dev -> staging -> prod).","Confusion about which model is deployed, risk of deploying untested models.",AIML,Design & Developer Experience
DX-012,"Poorly designed APIs for model inference that are not intuitive or well-documented.","Low adoption by application developers, integration difficulties.",AIML,Design & Developer Experience
DX-013,"Dependency management hell in Python projects, with conflicting library versions.","Non-reproducible environments, significant time spent resolving conflicts.",AIML,Design & Developer Experience
DX-014,"Monolithic model design where multiple functionalities are coupled, making updates and maintenance difficult.","High risk of regression, slow to iterate on individual features.",AIML,Design & Developer Experience
DX-015,"Lack of tooling for model comparison and evaluation, forcing manual and error-prone analysis.","Sub-optimal model selection, difficulty in demonstrating model improvement.",AIML,Design & Developer Experience
DX-016,"Inadequate access to production-like data for model development and testing.","Models that perform poorly in production due to data drift or domain shift.",AIML,Design & Developer Experience
DX-017,"The 'ivory tower' anti-pattern, where data science teams are disconnected from business and engineering teams.","Building models that don't solve real business problems, integration challenges.",AIML,Design & Developer Experience
DX-018,"No established process for peer-reviewing ML code, notebooks, and model design.","Low-quality code, propagation of bad practices, missed opportunities for improvement.",AIML,Design & Developer Experience
DX-019,"Complex and time-consuming process to get access to necessary data or compute resources.","Project delays, developer frustration and context switching.",AIML,Design & Developer Experience
DX-020,"Lack of a unified dashboard for observing model performance, data quality, and system health.","Siloed information, difficulty in getting a holistic view of the ML system.",AIML,Design & Developer Experience
DX-021,"Absence of a 'model card' or similar documentation standard for each production model.","Lack of clarity on model's intended use, limitations, and performance characteristics.",AIML,Design & Developer Experience
DX-022,"Tooling choices that are misaligned with team skills (e.g., forcing Scala/Spark on a Python-centric team).","Low productivity, resistance to adoption, need for extensive retraining.",AIML,Design & Developer Experience
DX-023,"Inability to easily reproduce past experiments and model training runs.","Failed audits, difficulty in debugging regressions, scientific invalidity.",AIML,Design & Developer Experience
DX-024,"Over-reliance on GUI-based AutoML tools that don't emit code, creating a 'black box' that cannot be customized or version controlled.","Vendor lock-in, lack of transparency, inability to integrate with CI/CD.",AIML,Design & Developer Experience
DX-025,"A culture that discourages experimentation and failure, stifling innovation in model development.","Stagnation, failure to adopt state-of-the-art techniques, loss of competitive advantage.",AIML,Design & Developer Experience
GOV-001,"Lack of a formal model risk management (MRM) framework to govern the model lifecycle.","Inconsistent standards, regulatory penalties, unmitigated business risks.",AIML,Governance & Operational Risks
GOV-002,"Absence of a Data Governance council to define data ownership, quality standards, and access policies.","Poor data quality, data silos, compliance risks.",AIML,Governance & Operational Risks
GOV-003,"Uncontrolled proliferation of ML experiments and artifacts leading to 'model sprawl' and high storage costs.","Wasted cloud spend, difficulty in managing and tracking production assets.",AIML,Governance & Operational Risks
GOV-004,"Lack of a FinOps strategy for monitoring, allocating, and optimizing ML-related cloud costs.","Budget overruns, inefficient resource usage, 'bill shock'.",AIML,Governance & Operational Risks
GOV-005,"Inability to provide clear explanations for model decisions (lack of XAI), failing regulatory or internal audit requirements.","Compliance failures (e.g., with 'right to explanation'), inability to build trust with users.",AIML,Governance & Operational Risks
GOV-006,"No clear chain of custody for data and models, making it impossible to satisfy audit requests.","Failed audits, legal and financial penalties.",AIML,Governance & Operational Risks
GOV-007,"Vendor lock-in with a specific cloud provider's proprietary AI/ML services (e.g., SageMaker, Vertex AI, Azure ML).","High switching costs, lack of portability, dependency on vendor's roadmap.",AIML,Governance & Operational Risks
GOV-008,"Failure to secure proper licensing for training data, pre-trained models, or open-source libraries.","Legal action, intellectual property infringement, requirement to retrain or rebuild systems.",AIML,Governance & Operational Risks
GOV-009,"Absence of a defined process for decommissioning and retiring old or underperforming models.","Ongoing maintenance costs for unused assets, potential for zombie APIs to be exploited.",AIML,Governance & Operational Risks
GOV-010,"Lack of a formal incident response plan specifically for ML system failures (e.g., major drift, bias discovery).","Chaotic response, prolonged outages, reputational damage.",AIML,Governance & Operational Risks
GOV-011,"Shadow AI/ML development by business units without oversight from IT or risk management.","Introduction of unvetted, insecure, or non-compliant models into business processes.",AIML,Governance & Operational Risks
GOV-012,"Inadequate training for developers and operators on ethical AI principles and responsible data handling.","Accidental creation of biased or harmful models, reputational risk.",AIML,Governance & Operational Risks
GOV-013,"No clear ownership or designated 'on-call' for production ML models, leading to slow response to alerts.","Extended downtime, unresolved performance degradation.",AIML,Governance & Operational Risks
GOV-014,"Failure to track the lineage of data from source to model, preventing impact analysis or root cause analysis.","Inability to identify systems affected by bad data, difficulty in debugging data quality issues.",AIML,Governance & Operational Risks
GOV-015,"Use of AI for purposes that violate company ethics policies or public commitments.","Severe reputational damage, employee attrition, customer backlash.",AIML,Governance & Operational Risks
GOV-016,"Inconsistent application of data retention and deletion policies for ML artifacts and datasets.","Non-compliance with privacy regulations (e.g., GDPR's 'right to be forgotten'), increased storage costs.",AIML,Governance & Operational Risks
GOV-017,"Lack of a centralized model registry for tracking all models in development and production.","Inability to answer 'what models do we have?' and 'where are they running?'.",AIML,Governance & Operational Risks
GOV-018,"Misalignment between the metrics used to evaluate a model (e.g., accuracy) and the business KPIs it is meant to impact.","Deployment of models that are technically correct but provide no business value.",AIML,Governance & Operational Risks
GOV-019,"Failure to plan for the operational costs of monitoring, retraining, and maintaining a model over its lifetime.","Under-resourced operations, model performance degradation over time.",AIML,Governance & Operational Risks
GOV-020,"No formal review and sign-off process by legal, risk, and compliance stakeholders before a model is deployed.","Deployment of models with unassessed legal or ethical risks.",AIML,Governance & Operational Risks
GOV-021,"Geopolitical risks impacting data residency requirements for training or hosting models.","Forced migration of data and infrastructure, non-compliance with national laws.",AIML,Governance & Operational Risks
GOV-022,"Lack of disaster recovery and business continuity plans for critical ML-powered applications.","Inability to restore service after a major cloud region failure.",AIML,Governance & Operational Risks
GOV-023,"Inadequate controls over the use of synthetic data generation, potentially introducing unrealistic artifacts or biases.","Models trained on flawed synthetic data may not generalize to the real world.",AIML,Governance & Operational Risks
GOV-024,"The 'human-in-the-loop' process is not clearly defined or audited, leading to inconsistent or biased human oversight.","Failure of the safety mechanism, introduction of human bias.",AIML,Governance & Operational Risks
GOV-025,"Intellectual property of a trained model is not properly protected or legally asserted.","Loss of competitive advantage, inability to defend against replication by competitors.",AIML,Governance & Operational Risks
AI-001,"Model drift (concept or data drift) where model performance degrades over time as production data patterns change.","Incorrect predictions, poor business outcomes, silent model failure.",AIML,AI & Data Engineering Specific Risks
AI-002,"Unfair bias in the model, where it produces systematically prejudiced outcomes against protected groups.","Reputational damage, legal action, discriminatory impact.",AIML,AI & Data Engineering Specific Risks
AI-003,"Data leakage, where information from the test/validation set inadvertently leaks into the training set.","Overly optimistic performance metrics, model fails in production.",AIML,AI & Data Engineering Specific Risks
AI-004,"Training-serving skew, where differences in data or feature processing between training and serving lead to poor performance.","Model behaves unexpectedly in production, inaccurate predictions.",AIML,AI & Data Engineering Specific Risks
AI-005,"Overfitting, where the model learns the training data too well, including its noise, and fails to generalize to new data.","Poor performance on unseen data, unreliable model.",AIML,AI & Data Engineering Specific Risks
AI-006,"Lack of reproducibility in model training, caused by untracked random seeds, dependencies, or data versions.","Inability to debug or validate results, scientific invalidity, failed audits.",AIML,AI & Data Engineering Specific Risks
AI-007,"Poor data quality (e.g., missing values, incorrect labels, outliers) leading to a 'garbage in, garbage out' scenario.","Fundamentally flawed model, wasted computational resources.",AIML,AI & Data Engineering Specific Risks
AI-008,"Catastrophic forgetting in online learning systems, where a model forgets previously learned patterns when updated with new data.","Sudden and severe performance degradation on older data patterns.",AIML,AI & Data Engineering Specific Risks
AI-009,"Spurious correlations, where the model learns a coincidental relationship in the training data that is not causally valid.","Model fails when the spurious correlation no longer holds, nonsensical predictions.",AIML,AI & Data Engineering Specific Risks
AI-010,"LLM 'hallucination', where a generative model produces confident but factually incorrect or nonsensical outputs.","Misinformation, loss of user trust, incorrect business actions.",AIML,AI & Data Engineering Specific Risks
AI-011,"Insufficient data quantity or diversity to train a robust and generalizable model.","Model performs poorly on edge cases or underrepresented subgroups.",AIML,AI & Data Engineering Specific Risks
AI-012,"Negative feedback loops, where a model's predictions influence user behavior, and that new behavior is used to retrain the model, amplifying biases.","Extreme polarization of outcomes, echo chamber effects.",AIML,AI & Data Engineering Specific Risks
AI-013,"High cost of data labeling, which can be slow, expensive, and inconsistent, creating a bottleneck for supervised learning.","Project delays, introduction of label noise, inability to scale.",AIML,AI & Data Engineering Specific Risks
AI-014,"Wrong choice of evaluation metric for the business problem (e.g., using accuracy for a highly imbalanced classification problem).","Model is optimized for the wrong objective and fails to deliver business value.",AIML,AI & Data Engineering Specific Risks
AI-015,"Lack of monitoring for data drift and model quality in production.","Silent failure of the model, with performance degrading over time without anyone noticing.",AIML,AI & Data Engineering Specific Risks
AI-016,"The 'curse of dimensionality', where models become harder to train and less effective as the number of features increases.","Need for massive amounts of data, computationally expensive training.",AIML,AI & Data Engineering Specific Risks
AI-017,"Technical debt from 'research code' being pushed to production without proper refactoring, testing, and documentation.","Brittle, unmaintainable systems that are difficult to debug or improve.",AIML,AI & Data Engineering Specific Risks
AI-018,"Misinterpretation of model explainability (XAI) outputs, leading to incorrect conclusions about model behavior.","False sense of security, misguided interventions based on flawed interpretations.",AIML,AI & Data Engineering Specific Risks
AI-019,"Underfitting, where the model is too simple to capture the underlying patterns in the data.","Poor predictive performance on both training and test data.",AIML,AI & Data Engineering Specific Risks
AI-020,"Improper handling of temporal data, such as using future information to predict the past during training.","Unrealistic performance estimates, complete model failure in a real-time setting.",AIML,AI & Data Engineering Specific Risks
AI-021,"Failure to account for Simpson's paradox, where a trend appears in different groups of data but disappears or reverses when these groups are combined.","Incorrect conclusions and business decisions based on aggregated data.",AIML,AI & Data Engineering Specific Risks
AI-022,"High inference cost of large models (e.g., LLMs) making the solution economically unviable at scale.","Project cancellation, negative ROI, budget overruns.",AIML,AI & Data Engineering Specific Risks
AI-023,"Lack of a robust A/B testing framework to statistically validate the impact of a new model before full rollout.","Deployment of a new model that actually harms business metrics.",AIML,AI & Data Engineering Specific Risks
AI-024,"Reward hacking in reinforcement learning, where the agent finds an exploit to maximize its reward in a way that is counter to the intended goal.","Unsafe or undesirable agent behavior, failure to achieve the real-world objective.",AIML,AI & Data Engineering Specific Risks
AI-025,"Normalization/scaling of data is not saved and reapplied consistently during training and inference.","Drastically poor model performance in production due to mismatched data distributions.",AIML,AI & Data Engineering Specific Risks
